# Namespace(base_learning_rate=0.1, batch_size=128, cudnn_workspace_limit_mb=64, db_type='minidb', epoch_size=49920, file_store_path='./models', gpus=None, image_size=32, load_model_path=None, num_channels=3, num_epochs=100, num_gpus=1, num_labels=10, num_shards=1, redis_host=None, redis_port=6379, run_id=None, save_model_name='mobilenet', shard_id=0, test_data='/data/cifar10/test_minidb', train_data='/data/cifar10/train_minidb', weight_decay=0.0001)
time_spent,cumulative_time_spent,input_count,cumulative_input_count,cumulative_batch_count,inputs_per_sec,accuracy,epoch,learning_rate,loss,test_accuracy
1028.67129683,20563.2039149,49920,948480,7799,48.5286214883,0.9765625,19,0.10000000149,0.0769896358252,0.846328125
1027.30676079,21590.5106769,49920,998400,8189,48.5930803782,0.953125,20,0.10000000149,0.119083851576,0.84515625
1027.0337348,22617.5444119,49920,1048320,8579,48.6059983315,0.90625,21,0.10000000149,0.208443507552,0.848359375
1026.42003989,23643.964463,49920,1098240,8969,48.6350597804,0.96875,22,0.10000000149,0.102371275425,0.840234375
1033.02940512,24676.99387,49920,1148160,9359,48.3238906392,0.953125,23,0.10000000149,0.172393679619,0.848203125
1031.64516592,25708.6390378,49920,1198080,9749,48.3887305918,0.9765625,24,0.10000000149,0.133147507906,0.851171875
1029.06509805,26737.704134,49920,1248000,10139,48.5100506224,0.90625,25,0.10000000149,0.23723551631,0.84421875
1027.03069401,27764.7348289,49920,1297920,10529,48.6061422421,0.9609375,26,0.10000000149,0.119212828577,0.85625
1026.20611,28790.9409399,49920,1347840,10919,48.6451985751,0.96875,27,0.10000000149,0.0796397775412,0.846484375
1026.33872819,29817.279669,49920,1397760,11309,48.6389128939,0.9609375,28,0.10000000149,0.0943391248584,0.85234375
1027.15584397,30844.435513,49920,1447680,11699,48.6002200084,0.9609375,29,0.0100000007078,0.0998426377773,0.850546875
1031.585958,31876.021472,49920,1497600,12089,48.3915078648,1.0,30,0.0100000007078,0.0225694142282,0.88546875
1027.22872496,32903.2501979,49920,1547520,12479,48.5967718651,1.0,31,0.0100000007078,0.00781938433647,0.8840625
1026.50939178,33929.7595899,49920,1597440,12869,48.6308263709,0.9921875,32,0.0100000007078,0.0126589769498,0.88671875
1029.11972308,34958.879313,49920,1647360,13259,48.5074757391,0.9921875,33,0.0100000007078,0.0142822815105,0.88921875
1028.32249904,35987.201813,49920,1697280,13649,48.5450819629,1.0,34,0.0100000007078,0.00977019406855,0.886015625
1027.71140695,37014.9132209,49920,1747200,14039,48.5739475719,1.0,35,0.0100000007078,0.00683724787086,0.888203125
1029.26840591,38044.181628,49920,1797120,14429,48.500468598,1.0,36,0.0100000007078,0.00314861047082,0.89046875
1042.16249609,39086.344125,49920,1847040,14819,47.9003995896,1.0,37,0.0100000007078,0.00292223435827,0.891015625
1027.63272095,40113.976846,49920,1896960,15209,48.5776668867,1.0,38,0.0100000007078,0.00130354764406,0.885625
1027.32043815,41141.2972839,49920,1946880,15599,48.5924334281,1.0,39,0.0100000007078,0.00300013646483,0.889453125
1027.4194169,42168.716702,49920,1996800,15989,48.5877521669,1.0,40,0.0100000007078,0.00139587838203,0.88734375
1028.4760201,43197.1927218,49920,2046720,16379,48.5378356175,1.0,41,0.0100000007078,0.00141112215351,0.89109375
1028.7829659,44225.9756889,49920,2096640,16769,48.5233539578,1.0,42,0.0100000007078,0.0017408534186,0.88546875
1028.71940494,45254.695096,49920,2146560,17159,48.5263520455,1.0,43,0.0100000007078,0.00188406871166,0.887578125
1028.78904605,46283.484143,49920,2196480,17549,48.5230671844,1.0,44,0.0100000007078,0.00124649784993,0.889765625
1028.92023396,47312.4043779,49920,2246400,17939,48.5168804657,1.0,45,0.0100000007078,0.000644063169602,0.889140625
1028.8756361,48341.280015,49920,2296320,18329,48.5189834888,1.0,46,0.0100000007078,0.00125964893959,0.889765625
1029.08962512,49370.3696411,49920,2346240,18719,48.5088944456,1.0,47,0.0100000007078,0.00103515945375,0.8903125
1029.02300692,50399.3926489,49920,2396160,19109,48.5120348763,1.0,48,0.0100000007078,0.00172925589141,0.892421875
1028.91408205,51428.3067319,49920,2446080,19499,48.5171705499,1.0,49,0.0100000007078,0.00123693782371,0.8865625
1028.71925402,52457.0259869,49920,2496000,19889,48.5263591646,1.0,50,0.0100000007078,0.000466999568744,0.885234375
